timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650343989673,2536,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,2488,0,9,,2488,1884,2231
1650343990241,2015,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,1932,0,0,,1932,1760,2758
1650343990445,1999,HTTP Request,200,OK,Thread Group 3-23,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,1959,0,0,,1959,1769,2079
1650343990461,2023,HTTP Request,200,OK,Thread Group 3-21,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,1979,0,0,,1979,1880,2462
1650343990781,1755,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,1697,0,0,,1697,1549,1672
1650343989904,2724,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,2676,0,0,,2676,1778,1846
1650343990429,2260,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,2211,0,1,,2211,1800,2345
1650343989872,2987,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,2902,0,1,,2902,2577,1813
1650343991043,1845,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,1759,0,0,,1759,1888,1788
1650343990224,2760,HTTP Request,200,OK,Thread Group 3-17,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,2724,0,2,,2724,2855,2298
1650343990878,2195,HTTP Request,200,OK,Thread Group 3-15,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,2152,0,0,,2152,2510,1933
1650343990684,2461,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,2413,0,1,,2413,2032,1987
1650343991141,2120,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,2054,0,0,,2054,2234,1940
1650343991046,2311,HTTP Request,200,OK,Thread Group 3-24,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,2203,0,0,,2203,1765,2105
1650343990906,2652,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,2588,0,1,,2588,2362,1824
1650343991121,2441,HTTP Request,200,OK,Thread Group 3-20,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,2360,0,0,,2360,1612,2134
1650343991535,2227,HTTP Request,200,OK,Thread Group 3-22,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,2145,0,1,,2145,2042,2454
1650343991448,2316,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,2212,0,0,,2212,2384,1989
1650343991520,2374,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,2320,0,1,,2320,2009,2295
1650343992589,1434,HTTP Request,200,OK,Thread Group 3-21,text,true,,37675170,29,29,http://localhost:50001/calculationsStored,1395,0,7,,1395,1891,2170
1650343992544,1628,HTTP Request,200,OK,Thread Group 3-23,text,true,,37675170,29,29,http://localhost:50001/calculationsStored,1528,0,0,,1528,2749,2846
1650343991665,2519,HTTP Request,200,OK,Thread Group 3-19,text,true,,37675170,29,29,http://localhost:50001/calculationsStored,2439,0,1,,2439,2723,2118
1650343992641,1702,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,29,29,http://localhost:50001/calculationsStored,1664,0,1,,1664,2059,1588
1650343991647,2784,HTTP Request,200,OK,Thread Group 3-25,text,true,,37675170,29,29,http://localhost:50001/calculationsStored,2719,0,0,,2719,2249,1512
1650343991796,2759,HTTP Request,200,OK,Thread Group 3-18,text,true,,37675170,30,30,http://localhost:50001/calculationsStored,2677,0,0,,2677,1721,2083
1650343992357,2316,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,30,30,http://localhost:50001/calculationsStored,2225,0,1,,2225,2506,2399
1650343992313,2394,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,30,30,http://localhost:50001/calculationsStored,2236,0,0,,2236,2936,2059
1650343992132,2597,HTTP Request,200,OK,Thread Group 3-16,text,true,,37675170,30,30,http://localhost:50001/calculationsStored,2475,0,1,,2475,2460,2011
1650343991893,2839,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,30,30,http://localhost:50001/calculationsStored,2706,0,1,,2706,2360,1491
1650343992078,2799,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,30,30,http://localhost:50001/calculationsStored,2710,0,0,,2710,1986,2457
1650343992961,2070,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,30,30,http://localhost:50001/calculationsStored,2022,0,1,,2022,2111,2068
1650343992247,2931,HTTP Request,200,OK,Thread Group 3-26,text,true,,37675170,31,31,http://localhost:50001/calculationsStored,2887,0,1,,2887,1788,2185
1650343992790,2627,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,31,31,http://localhost:50001/calculationsStored,2524,0,4,,2524,2344,2036
1650343992994,2429,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,31,31,http://localhost:50001/calculationsStored,2309,0,1,,2309,2780,2388
1650343993084,2508,HTTP Request,200,OK,Thread Group 3-17,text,true,,37675170,31,31,http://localhost:50001/calculationsStored,2410,0,1,,2410,1340,2117
